epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0095,0.95475,3.74368,1.3983,0.00667,0.46154,0.19657,0.12678,0.71996,3.26242,1.07053,0,0,0
2,5.62411,0.90652,3.00504,1.31981,0.00778,0.53846,0.20439,0.13309,0.70113,3.24325,1.06271,1.934e-05,1.934e-05,1.934e-05
3,7.89335,0.84787,3.14,1.16334,0.00778,0.53846,0.21405,0.14501,0.64884,3.21499,1.03028,3.736e-05,3.736e-05,3.736e-05
4,10.897,0.78243,3.01151,1.18813,0.01111,0.76923,0.28088,0.17034,0.60689,3.20196,0.98048,5.406e-05,5.406e-05,5.406e-05
5,13.6978,0.72626,2.85445,1.20137,0.01333,0.92308,0.33283,0.2119,0.5583,3.1782,0.94639,6.944e-05,6.944e-05,6.944e-05
6,16.5923,0.78153,2.97943,1.32118,0.01333,0.92308,0.37525,0.25091,0.54512,3.15399,0.91744,8.35e-05,8.35e-05,8.35e-05
7,19.8116,0.73456,2.8394,1.10313,0.01333,0.92308,0.39579,0.27487,0.53644,3.08105,0.9149,9.624e-05,9.624e-05,9.624e-05
8,22.6874,0.81211,2.60213,1.10788,0.01333,0.92308,0.46801,0.35343,0.46172,2.99991,0.87122,0.00010766,0.00010766,0.00010766
9,26.1281,0.72349,2.67913,1.04843,0.01444,1,0.52025,0.39942,0.42289,2.96541,0.84346,0.00011776,0.00011776,0.00011776
10,29.086,0.69963,2.05312,1.09039,0.01444,1,0.57899,0.51081,0.40315,2.91529,0.82672,0.00012654,0.00012654,0.00012654
11,32.1641,0.58469,1.97003,0.98965,0.01333,0.92308,0.62281,0.58022,0.39455,2.86839,0.80081,0.000134,0.000134,0.000134
12,35.3953,0.37143,1.73166,0.90062,0.01444,1,0.62061,0.57315,0.41273,2.7847,0.78154,0.00014014,0.00014014,0.00014014
13,38.2882,0.66863,1.80653,0.94968,0.01444,1,0.64722,0.57939,0.40035,2.70699,0.77882,0.00014496,0.00014496,0.00014496
14,41.4901,0.5749,1.28564,0.9103,0.01444,1,0.68159,0.57251,0.44644,2.64958,0.78312,0.00014846,0.00014846,0.00014846
15,44.5616,0.47757,1.35442,1.01712,0.89217,0.63811,0.68888,0.58452,0.45334,2.60383,0.78062,0.00015064,0.00015064,0.00015064
16,47.4565,0.55454,1.30531,0.87927,1,0.21908,0.70291,0.59869,0.46344,2.55996,0.77792,0.0001515,0.0001515,0.0001515
17,50.7157,0.57906,1.25959,1.03297,1,0.29881,0.70833,0.61108,0.47394,2.50644,0.77567,0.00015104,0.00015104,0.00015104
18,53.4322,0.54062,1.01775,0.90533,1,0.29881,0.70833,0.61108,0.47394,2.50644,0.77567,0.00014926,0.00014926,0.00014926
19,56.2645,0.68715,1.5263,0.93676,1,0.42795,0.73421,0.64663,0.4763,2.48726,0.76979,0.00014616,0.00014616,0.00014616
20,59.4657,0.55825,0.99828,0.86016,1,0.42795,0.73421,0.64663,0.4763,2.48726,0.76979,0.00014174,0.00014174,0.00014174
21,62.7152,0.50866,1.55073,0.84084,1,0.44498,0.74418,0.64884,0.47643,2.47789,0.76626,0.000136,0.000136,0.000136
22,65.7924,0.59015,1.96962,0.92131,1,0.44498,0.74418,0.64884,0.47643,2.47789,0.76626,0.00012894,0.00012894,0.00012894
23,68.6442,0.54306,1.43343,0.88816,1,0.3905,0.76281,0.67614,0.44508,2.48592,0.76197,0.00012056,0.00012056,0.00012056
24,71.1673,0.48661,1.39003,0.87121,1,0.3905,0.76281,0.67614,0.44508,2.48592,0.76197,0.00011086,0.00011086,0.00011086
25,73.7511,0.5057,1.34436,0.86241,1,0.57423,0.7659,0.69328,0.42163,2.49635,0.76352,9.984e-05,9.984e-05,9.984e-05
26,76.311,0.52385,1.43413,0.95838,1,0.57423,0.7659,0.69328,0.42163,2.49635,0.76352,8.75e-05,8.75e-05,8.75e-05
27,79.5923,0.55788,1.3775,0.99094,1,0.47373,0.76802,0.68807,0.40378,2.50066,0.76336,7.384e-05,7.384e-05,7.384e-05
28,82.7741,0.51555,1.25321,0.84742,1,0.47373,0.76802,0.68807,0.40378,2.50066,0.76336,5.886e-05,5.886e-05,5.886e-05
29,85.52,0.40788,1.15086,0.7577,1,0.43883,0.775,0.69288,0.39403,2.4889,0.76131,4.256e-05,4.256e-05,4.256e-05
30,88.4955,0.3931,1.15225,0.77676,1,0.43883,0.775,0.69288,0.39403,2.4889,0.76131,2.494e-05,2.494e-05,2.494e-05
